HR,Name,DM,glon,glat,vmag,spectype,parallax,Dmag,Sep,,
5458,,CD-48 9218,320.52,10.1,6.39,F3IV,0.009,,,,111.1111111
5477,30Zet Boo,BD+14 2770,10.8,61.12,4.83,A2III,0.009,0.1,1.2,,111.1111111
5478,30Zet Boo,BD+14 2770,10.8,61.12,4.43,A2III,0.009,0.1,1.2,,111.1111111
5538,39    Boo,BD+49 2326,84.29,58.58,5.69,F6V+F5V,0.009,0.5,2.9,,111.1111111
5605,Pi  Lup,CD-46 9773,325.33,9.93,4.72,B5V,0.009,0.1,1.8,,111.1111111
5606,Pi  Lup,CD-46 9773,325.33,9.93,4.82,B5IV,0.009,0.1,1.8,,111.1111111
5708,Eps Lup,CD-4410066,329.23,10.32,3.37,B2IV-V,0.009,1.5,0.4,,111.1111111
5830,,BD+47 2253,75.32,51.93,5.75,F2V,0.009,,,,111.1111111
5984,8Bet1Sco,BD-19 4307,353.19,23.6,2.62,B1V,0.009,1.3,0,,111.1111111
6043,,BD+33 2696,53.83,46.72,6.29,K2III,0.009,4.3,5.4,,111.1111111
6097,,CD-3211687,345.99,11.37,6.47,A0V+A0V,0.009,0.5,6.3,,111.1111111
6126,,BD+69  845,101.8,38.23,5.25,K2III,0.009,,,,111.1111111
6223,18    Dra,BD+64 1145,95.57,38.16,4.83,K0III*,0.009,,,,111.1111111
6291,24    Oph,BD-22 4249,358.6,12.31,5.58,A0V,0.009,0.3,1,,111.1111111
6431,68    Her,BD+33 2864,56.4,33.14,4.82,B1.5Vp+B5III,0.009,5.1,4.4,,111.1111111
6477,,CD-4511531,343.72,-5.94,5.29,B7V+B9.5V,0.009,0.8,2.3,,111.1111111
6613,,CD-3812189,352.3,-5.02,6.43,B9V+A1V,0.009,0.3,0.1,,111.1111111
6758,,BD+12 3383,38.69,15.51,7.04,A3IV,0.009,0.5,6.9,,111.1111111
6793,,BD+36 3027,63.08,23.92,5.48,K2.5III,0.009,,,,111.1111111
6909,,CD-2613184,6.55,-7.02,6.31,A8V+F2V,0.009,0,1.1,,111.1111111
6968,,BD+30 3223,59.04,17.09,5.48,B8IV,0.009,7.3,7.1,,111.1111111
7013,,BD+65 1283,95.49,26.07,6.06,F0V,0.009,,,,111.1111111
7059,5    Aql,BD-01 3559,31.51,0.67,5.9,A2Vm,0.009,1.6,12.8,,111.1111111
7092,,CD-4612669,349.73,-19.51,5.54,M0III,0.009,,,,111.1111111
7202,,BD+26 3429,57.62,9.65,5.69,B5V,0.009,,,,111.1111111
7287,21    Aql,BD+02 3824,37.52,-3.9,5.15,B8II-III,0.009,7.5,36.2,,111.1111111
7589,,BD+46 2793,80.99,10.09,5.62,O9.5Ia,0.009,,,,111.1111111
7592,13    Vul,BD+23 3820,61.27,-1.79,4.58,B9.5III,0.009,3.2,1,,111.1111111
7609,10    Sge,BD+16 4067,55.17,-6.12,5.36,G5Ib,0.009,,,,111.1111111
7717,,BD+00 4444,43.3,-17.56,6.27,B9pCrEu:Sr:,0.009,0.2,2.8,,111.1111111
7760,,BD+28 3695,68.43,-3.62,6.22,G9III,0.009,4.7,5.9,,111.1111111
7849,,BD+25 4272,67.51,-8.15,6.34,Am,0.009,1.8,0.4,,111.1111111
7959,,CP-62 6180,333.32,-37.62,6.28,A2-3IV-V,0.009,0.2,2.4,,111.1111111
7960,,CP-62 6180,333.32,-37.62,6.59,A2-3IV-V,0.009,0.2,2.4,,111.1111111
8038,,BD+06 4718,55.97,-24.2,5.99,F1Vp,0.009,1.1,0.2,,111.1111111
8064,,BD+45 3374,87.11,-0.52,6.48,B3Vn,0.009,0,0.2,,111.1111111
8433,Ups PsA,CD-3415421,11.53,-54.48,4.99,M1III,0.009,,,,111.1111111
8486,Mu 1Gru,CD-4114810,358.65,-55.16,4.79,G8III+G,0.009,,,,111.1111111
8850,92Chi Aqr,BD-08 6076,69.45,-60.36,5.06,M3III,0.009,,,,111.1111111
9017,,BD+64 1861,116.33,2.81,6.41,A0pSrSi:Cr:,0.009,2,0.7,,111.1111111
175,32    And,BD+38   90,120.76,-23.37,5.33,G8III,0.01,,,,100
195,Lam2Scl,CD-39  181,310.14,-78.6,5.9,K1III,0.01,,,,100
380,,CP-67   81,298.9,-50.53,6.24,A0V,0.01,2.4,2.4,,100
542,45Eps Cas,BD+62  320,129.84,1.65,3.38,B3III,0.01,,,,100
599,3Eps Tri,BD+32  369,139.71,-27.25,5.5,A2V,0.01,6,4.2,,100
628,59    And,BD+38  425,139.38,-21.28,5.63,B9V,0.01,0.8,16.2,,100
629,59    And,BD+38  425,139.38,-21.28,6.1,A1Vn,0.01,0.8,16.2,,100
823,,CP-67  181,287.19,-46.84,6.26,F5V,0.01,0,0.4,,100
829,,BD+68  200,133.47,8.52,5.8,F5:Ib-II,0.01,,,,100
969,,BD+50  729,144.89,-5.66,5.03,G6Ib-IIa,0.01,,,,100
1203,44Zet Per,BD+31  666,162.29,-16.69,2.85,B1Ib,0.01,6.5,12.9,,100
1231,34Gam Eri,BD-13  781,205.16,-44.47,2.95,M0.5IIICa-1Cr-1,0.01,9.5,52.8,,100
1452,,BD-09  930,204.9,-34.51,5.26,K4III,0.01,,,,100
1562,5    Ori,BD+02  800,196.08,-24.71,5.33,M1III,0.01,,,,100
1589,,BD+73  265,137.98,19.19,5.96,A1V,0.01,1,0.6,,100
1739,109    Tau,BD+21  816,182.54,-8.7,4.94,G8III,0.01,,,,100
1917,,CP-64  456,273.8,-32.72,5.34,G8-K0III,0.01,,,,100
1976,,BD+62  784,150.37,17.24,6.13,A4V,0.01,0.9,0.9,,100
2108,2    Mon,BD-09 1285,215.67,-15.93,5.03,A6IIIm vs,0.01,,,,100
2175,41    Aur,BD+48 1352,164.97,13.95,6.82,A8V,0.01,0.8,7.7,,100
2176,41    Aur,BD+48 1352,164.97,13.95,6.09,A3V,0.01,0.8,7.7,,100
2375,,BD+11 1209,200.44,0.95,5.23,A3V,0.01,,,,100
2389,,CP-56 1095,265.89,-25.36,5.22,K0III,0.01,,,,100
2490,42    Cam,BD+67  454,147.8,24.88,5.14,B4IV,0.01,,,,100
2529,36    Gem,BD+21 1405,193.38,9.76,5.27,A2V,0.01,8.8,11.3,,100
2746,,CD-44 3223,256.26,-15.3,4.89,A0pSi,0.01,,,,100
2851,5Eta CMi,BD+07 1729,210.85,11.28,5.25,F0III,0.01,5.2,4,,100
2948,,CD-26 4707,241.96,-2.44,4.5,B6V,0.01,0.2,9.9,,100
2949,,CD-26 4707,241.97,-2.44,4.62,B5IVn,0.01,0.2,9.9,,100
2979,,CP-73  457,286.11,-23.14,7.16,B9IV,0.01,0.1,1.8,,100
2980,,CP-73  457,286.11,-23.14,7.26,B9IV,0.01,0.1,1.8,,100
3127,,BD+23 1866,198.13,25.23,6.34,K1III-IV,0.01,4.5,2.3,,100
3243,,CD-39 4128,257.35,-3.21,4.44,K1II-III,0.01,5.1,51.1,,100
3310,23Phi2Cnc,BD+27 1612,196.61,31.82,6.32,A6V,0.01,0.1,5.2,,100
3311,23Phi2Cnc,BD+27 1612,196.61,31.82,6.3,A3V,0.01,0.1,5.2,,100
3334,Eta Vol,CP-72  694,286.66,-19.82,5.29,A0-1IV-V,0.01,6.3,42.4,,100
3718,The Pyx,CD-25 7114,254.81,16.72,4.72,M1III,0.01,,,,100
3873,17Eps Leo,BD+24 2129,206.82,48.21,2.98,G1II,0.01,,,,100
4114,,CP-58 2227,285.22,-0.9,3.82,F2II,0.01,,,,100
4120,,CP-63 1440,288.16,-5.47,5.29,M0III,0.01,,,,100
4143,,CD-46 6205,279.8,9.55,5.02,K4III,0.01,4,40.2,,100
4162,,CD-26 8033,269.64,26.65,4.89,M2III,0.01,,,,100
4239,,CP-58 2755,287.92,-0.06,5.91,B9.5IV-V,0.01,1.2,1.1,,100
4304,,CP-80  509,298.73,-19.62,6.71,F7IV,0.01,0.1,0.4,,100
4362,72    Leo,BD+23 2322,218.1,67.88,4.63,M3IIb,0.01,,,,100
4371,75    Leo,BD+02 2409,257.02,56.25,5.18,M0III-IIIb,0.01,,,,100
4401,,CP-64 1657,293.78,-3.66,5.11,B5V,0.01,1.2,2.6,,100
4552,Bet Hya,CD-33 8018,289.27,27.41,4.28,B9IIIpSi,0.01,0.9,0.8,,100
4682,,CP-54 5113,298.27,7.43,5,M1III,0.01,7,35.7,,100
4768,,CP-58 4344,300.42,3.35,5.48,F7Ib-II,0.01,,,,100
4995,55    Vir,BD-19 3651,310.21,42.62,5.33,G6V,0.01,,,,100
5321,4    UMi,BD+78  478,117.67,38.78,4.82,K3III,0.01,,,,100
5328,17Kap1Boo,BD+52 1782,96.46,60.92,6.69,F1V,0.01,2.2,13.4,,100
5329,17Kap2Boo,BD+52 1782,96.46,60.91,4.54,A8IV,0.01,2.2,13.4,,100
5524,,BD+24 2779,33.54,63.58,6.14,F2-6V,0.01,1.1,1.9,,100
5589,,BD+66  878,104.87,46.53,4.6,M4.5III,0.01,,,,100
5671,Gam TrA,CP-68 2383,315.71,-9.55,2.89,A1V,0.01,,,,100
5704,Gam Cir,CP-58 5908,321.25,-1.96,4.51,B5IV+F8,0.01,0.3,0.9,,100
5857,,BD+52 1898,83.25,49.42,5.51,B9pSiCr,0.01,,,,100
5880,,BD+28 2477,45.05,50.98,5.85,G0Iep,0.01,,,,100
5895,36    Ser,BD-02 4058,5.25,37.18,5.11,A3Vnp,0.01,,0.1,,100
5944,6Pi  Sco,CD-2511228,347.22,20.23,2.89,B1V+B2V,0.01,1.2,0,,100
5971,14Iot CrB,BD+30 2738,48.3,48.46,4.99,A0p:Hg:,0.01,,,,100
6025,,BD+68  864,101.15,40.09,5.44,A0Vn,0.01,,,,100
6065,16    Her,BD+19 3075,34.13,42.62,5.69,K3III,0.01,,,,100
6119,,BD+19 3098,35.35,40.35,6.7,M7IIIe,0.01,,,,100
6149,10Lam Oph,BD+02 3118,17.12,31.85,3.82,A0V+A4V,0.01,1,1.2,,100
6168,35Sig Her,BD+42 2724,66.91,42.7,4.2,B9V,0.01,3,0.1,,100
6184,16    Dra,BD+53 1875,80.94,41.48,5.53,B9.5Vn,0.01,0,90.3,,100
6185,17    Dra,BD+53 1876,80.97,41.48,5.08,B9V,0.01,0,90.3,,100
6186,17    Dra,BD+53 1876,80.97,41.48,6.53,A1Vnn,0.01,0,90.3,,100
6228,43    Her,BD+08 3271,26.03,31.77,5.15,K5III,0.01,3.9,82.5,,100
6254,52    Her,BD+46 2220,71.61,39.96,4.82,A2VpSrCrEu,0.01,4.6,1.8,,100
6270,51    Her,BD+24 3069,44.73,36.42,5.04,K0.5IIIaCa0.5,0.01,,,,100
6322,22Eps UMi,BD+82  498,115,31.05,4.23,G5III,0.01,8.3,76.9,,100
6329,,BD+08 3337,27.95,28.14,6.33,A4V,0.01,0.8,1.2,,100
6346,61    Her,BD+35 2911,58.48,36.4,6.69,M4IIIab,0.01,,,,100
6415,41    Oph,BD-00 3255,21.2,20.75,4.73,K2III,0.01,3,1,,100
6457,70    Her,BD+24 3167,46.93,30.05,5.12,A2V,0.01,3.5,222.9,,100
6700,4    Sgr,CD-2313731,6.02,-0.13,4.76,B9V,0.01,,,,100
6853,,BD+40 3332,68.38,23.52,6.11,G8.5IIIbFe-1CH0.5,0.01,,,,100
7107,Kap Pav,CP-67 3603,328.29,-25.39,4.44,F5I-II,0.01,,,,100
7122,,CD-4213761,353.85,-18.85,5.36,K0III,0.01,,,,100
7289,,CD-4513072,352.23,-23.13,5.4,K3III,0.01,,,,100
7321,24    Aql,BD+00 4170,36.37,-5.94,6.41,K0-IIIa:Ba0.4CH1,0.01,0.2,423.4,,100
7443,,BD-18 5432,21.23,-18.05,5.64,K3III,0.01,,,,100
7546,8Zet Sge,BD+18 4254,56.48,-3.4,5,A3V,0.01,0.5,0.2,,100
7570,55Eta Aql,BD+00 4337,40.93,-13.07,3.9,F6Ib,0.01,,,,100
7593,57    Aql,BD-08 5154,32.66,-17.76,5.71,B7Vn,0.01,0.8,35.7,,100
7594,57    Aql,BD-08 5155,32.65,-17.77,6.49,B8V,0.01,0.8,35.7,,100
7599,,BD-07 5102,34.15,-17.26,6.51,F2V,0.01,1.1,0.2,,100
7731,21    Vul,BD+28 3675,67.66,-3.27,5.18,A7IVn,0.01,,,,100
7775,,BD-15 5626,29.12,-26.32,6.1,A0III,0.01,0.3,0,,100
7776,9Bet Cap,BD-15 5629,29.15,-26.37,3.08,F8V+A0,0.01,0.3,0,,100
7858,3Eta Del,BD+12 4378,57.02,-15.8,5.38,A3IV s,0.01,,,,100
7884,71    Aql,BD-01 4016,44.81,-24.14,4.32,G7.5IIIa,0.01,7.5,32.2,,100
7897,1    Aqr,BD-00 4064,46.47,-23.58,5.16,K1III,0.01,7.1,59.7,,100
7917,,BD+29 4131,71.9,-7.32,6.08,A2V,0.01,4.5,0.9,,100
8028,58Nu  Cyg,BD+40 4364,82.91,-2.82,3.94,A1Vn,0.01,,,,100
8044,,BD+18 4675,66.23,-17.29,5.65,M3IIIab,0.01,3.9,46.6,,100
8098,6    Equ,BD+09 4735,59.89,-24.85,6.07,A2V s,0.01,1.2,352.5,,100
8361,,BD+65 1664,105.85,9.04,6.37,A1m,0.01,0.3,1.9,,100
8488,Mu 2Gru,CD-4215846,358.11,-55.26,5.1,G8III,0.01,,,,100
8618,40    Peg,BD+18 5014,84.84,-33.37,5.82,G8II,0.01,5.6,1.5,,100
8619,,CD-2817873,22.82,-60.92,6.31,K0IV,0.01,1.3,86.6,,100
8632,11    Lac,BD+43 4266,99.56,-12.57,4.46,K2+III-IIIb,0.01,,,,100
8654,,BD+38 4855,97.71,-17.09,5.95,K5III+K2III,0.01,3.5,2.7,,100
8656,13    Lac,BD+41 4594,98.91,-15.04,5.08,K0III,0.01,5.8,14.6,,100
8812,88    Aqr,BD-21 6368,41.76,-66.03,3.66,K1III,0.01,,,,100
8834,90Phi Aqr,BD-06 6170,70.94,-58.74,4.22,M1.5III,0.01,,,,100
8991,77    Peg,BD+09 5268,96.87,-49.06,5.06,M2III,0.01,,,,100
9094,,BD+65 1987,118.01,3.7,5.86,G8III,0.01,1.5,15.2,,100
83,Pi  Tuc,CP-70   12,306.87,-47.27,5.51,B9V,0.011,,,,90.90909091
230,65    Psc,BD+26  131,122.51,-35.16,7,F4III,0.011,0,4.5,,90.90909091
231,65    Psc,BD+26  131,122.51,-35.16,7.1,F5III,0.011,0,4.5,,90.90909091
306,,BD+86   17,123.27,24.29,6.25,gK2,0.011,,,,90.90909091
460,,CP-58  123,292.01,-58.05,6.01,F2V,0.011,,,,90.90909091
555,Psi Phe,CD-46  552,274.35,-67.22,4.41,M4III,0.011,,,,90.90909091
699,65    And,BD+49  656,137.95,-9.83,4.71,K4+III,0.011,5.7,191.7,,90.90909091
743,,BD+72  140,130.71,11.58,5.16,G8III,0.011,,,,90.90909091
855,20    Per,BD+37  655,147.81,-18.55,5.33,F4IV,0.011,0.6,0.2,,90.90909091
872,Nu  Hyi,CP-75  204,293.35,-39.77,4.75,K3III,0.011,,,,90.90909091
921,25Rho Per,BD+38  630,149.6,-17.01,3.39,M4II,0.011,,,,90.90909091
1106,,CD-40 1008,244.85,-53.51,4.58,K1III,0.011,,,,90.90909091
1174,30    Tau,BD+10  486,177.17,-32.53,5.07,B3V+F5V,0.011,4.4,9.2,,90.90909091
1314,,BD+53  750,150.54,2.13,5.19,A2Vn,0.011,,,,90.90909091
1654,2Eps Lep,BD-22 1000,223.25,-32.73,3.19,K5III,0.011,,,,90.90909091
1672,16    Ori,BD+09  743,191.69,-17.46,5.43,A2m,0.011,4.5,168,,90.90909091
1738,,BD+40 1253,166.99,2.28,5.52,A3V,0.011,,,,90.90909091
1784,29    Ori,BD-07 1064,209.98,-22.98,4.14,G8IIIFe-0.5,0.011,,,,90.90909091
2152,37    Cam,BD+58  897,155.18,17.94,5.36,G8III,0.011,,,,90.90909091
2424,,CD-36 3009,245.35,-18.84,5.59,A0V,0.011,0.8,1.5,,90.90909091
2470,12    Lyn,BD+59 1015,156.31,22.48,4.87,A3V,0.011,0.6,1.7,,90.90909091
2644,,BD+52 1165,164.07,23.36,6.12,A3V s,0.011,0.2,4.2,,90.90909091
2649,,BD+11 1428,204.5,7.65,5.13,K3III,0.011,,,,90.90909091
2717,51    Gem,BD+16 1417,200.78,12.04,5,M4IIIab,0.011,5.2,149.2,,90.90909091
2744,24    Mon,BD+00 1871,215.81,5.24,6.41,G5III,0.011,5.8,3.8,,90.90909091
2783,19    Lyn,BD+55 1192,161.96,26.36,6.53,B9V,0.011,1,15.1,,90.90909091
2784,19    Lyn,BD+55 1192,161.96,26.37,5.45,B8V,0.011,1,15.1,,90.90909091
2830,,BD+68  480,147.28,28.69,5.64,gK2,0.011,,,,90.90909091
2886,68    Gem,BD+16 1510,203.19,16.32,5.25,A1Vn,0.011,1.6,0.2,,90.90909091
3284,20    Cnc,BD+18 1930,205.7,28.25,5.95,A9V,0.011,,,,90.90909091
3360,,BD+38 1920,183.95,35.54,5.9,K2III,0.011,,,,90.90909091
3523,15    Hya,BD-06 2743,234.39,22.64,5.54,A4m,0.011,1.8,0.9,,90.90909091
3555,59Sig2Cnc,BD+33 1785,191.3,39.55,5.45,A7IV,0.011,,,,90.90909091
3609,11Sig1UMa,BD+67  573,147.27,38.03,5.14,K5III,0.011,,,,90.90909091
3613,18Ome Hya,BD+05 2116,224.69,32.11,4.97,K2II-III,0.011,,,,90.90909091
3674,,CD-42 5086,266.58,3.81,5.25,B4V,0.011,4.1,5.8,,90.90909091
3834,,BD+05 2207,230.16,38.88,4.68,K3III,0.011,,,,90.90909091
3906,7    Sex,BD+03 2280,234.98,40.57,6.02,A0V s,0.011,,,,90.90909091
3923,,BD-18 2810,255.24,27.09,4.94,M1III,0.011,,,,90.90909091
3926,,BD+09 2262,228.26,44.9,5.85,gK2,0.011,,,,90.90909091
4133,47Rho Leo,BD+10 2166,234.89,52.77,3.85,B1Ib,0.011,0.4,0,,90.90909091
4229,40    Sex,BD-03 2999,254.8,47.11,6.61,A2IV,0.011,0.7,2.2,,90.90909091
4334,,CD-27 7886,276.87,29.54,5.44,A1V,0.011,,,,90.90909091
4390,Pi  Cen,CP-53 4498,289.96,6.09,3.89,B5Vn,0.011,0.7,0.2,,90.90909091
4522,,CP-60 3325,295.19,0.71,4.11,G5Ib-II,0.011,8.8,25,,90.90909091
4719,,BD+26 2345,225.75,83.76,6.42,A7V+F4V,0.011,1,1.4,,90.90909091
4883,31    Com,BD+28 2156,114.93,89.58,4.94,G0III,0.011,,,,90.90909091
4943,14    CVn,BD+36 2337,104.46,80.81,5.25,B9V,0.011,,,,90.90909091
4973,,CD-42 8175,306.77,19.35,5.25,K1-2III,0.011,,,,90.90909091
4990,54    Vir,BD-18 3562,310.15,43.74,6.28,B9III,0.011,0.4,5.4,,90.90909091
5015,60Sig Vir,BD+06 2722,320.14,67.46,4.8,M1III,0.011,,,,90.90909091
5071,,CD-50 7812,308.99,11.26,5.06,A1V,0.011,,,,90.90909091
5138,,BD+11 2589,339.9,70.08,5.57,F0V,0.011,0.2,0.1,,90.90909091
5142,82    UMa,BD+53 1640,107.04,62.7,5.46,A3Vn,0.011,,,,90.90909091
5200,5Ups Boo,BD+16 2564,355.81,72.4,4.07,K5.5III,0.011,,,,90.90909091
5433,,BD+27 2388,37.58,67.54,6.01,A7Vn,0.011,0.2,0.2,,90.90909091
5480,31    Boo,BD+08 2903,2.05,57.76,4.86,G7+IIIHdel -0.5,0.011,,,,90.90909091
5482,,CP-62 4275,315.5,-2.81,5.36,A9V,0.011,5.5,36.3,,90.90909091
5526,58    Hya,CD-2710073,332.65,27.97,4.41,K4III,0.011,,,,90.90909091
5775,36    Lib,CD-2710443,341.5,22.35,5.15,K4III,0.011,,,,90.90909091
5815,,BD-08 4031,357.31,35.87,6.5,F6IV-V,0.011,0.2,11.9,,90.90909091
5816,,BD-08 4032,357.32,35.87,6.48,F6V,0.011,0.2,11.9,,90.90909091
5842,21Iot Ser,BD+20 3138,31.42,50.45,4.52,A1V,0.011,0.1,0.1,,90.90909091
6180,,BD+72  734,105.32,35.99,6.3,K2III,0.011,,,,90.90909091
6287,,BD+21 3002,40.68,34.59,5.41,G8III,0.011,,,,90.90909091
6364,,BD+22 3073,43,32.45,5.56,K3III,0.011,7.9,30.3,,90.90909091
6455,,BD+25 3246,48.01,30.53,5.38,A3III,0.011,,,,90.90909091
6862,,CD-3812729,355.12,-11.35,5.1,K4-5III,0.011,,,,90.90909091
6872,1Kap Lyr,BD+36 3094,63.52,21.55,4.33,K2IIIabCN0.5,0.011,,,,90.90909091
6898,,BD-01 3486,28.49,5.16,6.15,F6III+A9III,0.011,0.4,0.8,,90.90909091
6933,,BD-18 4982,13.88,-3.92,5.66,gK0,0.011,,,,90.90909091
7002,,BD+08 3780,39.35,6.9,6.4,M6IIIe+K1III,0.011,2.2,0.4,,90.90909091
7049,46    Dra,BD+55 2107,84.94,23.29,5.04,B9.5pHg:,0.011,5.6,146.8,,90.90909091
7135,,BD+06 3978,39.28,2.12,5.57,K0III,0.011,,,,90.90909091
7150,37Xi 2Sgr,BD-21 5201,14.61,-10.78,3.51,K1III,0.011,,,,90.90909091
7488,6Bet Sge,BD+17 4048,54.1,-2.6,4.37,G8IIIaCN0.5,0.011,,,,90.90909091
7723,,BD+23 3935,63.85,-5.61,6.56,A1m,0.011,3.3,2.7,,90.90909091
8016,,BD+80  672,114.01,22.27,5.39,K1III,0.011,,,,90.90909091
8066,3    Equ,BD+04 4606,54.83,-26.26,5.61,K5III,0.011,6.9,81.7,,90.90909091
8143,67Sig Cyg,BD+38 4431,84.19,-6.87,4.23,B9Iab,0.011,,,,90.90909091
8185,,BD+48 3357,91.9,-0.44,5.69,K0III,0.011,,,,90.90909091
8280,Lam Oct,CP-83  722,309.02,-32.13,5.29,G8-K0III,0.011,2.3,2.8,,90.90909091
8386,12Eta PsA,CD-2918119,20.7,-52.44,5.42,B8V,0.011,1,1.9,,90.90909091
8423,,BD+82  673,117.67,21.84,6.98,F6IV-V,0.011,0.5,13.7,,90.90909091
8571,27Del Cep,BD+57 2548,105.19,0.53,3.75,F5Ib-G2Ib,0.011,2.4,40.8,,90.90909091
8798,,BD+32 4587,98.92,-25.15,6.02,A4Vn,0.011,1.5,8.4,,90.90909091
8860,8    And,BD+48 3991,107.53,-11.03,4.85,M2+IIIBa0.3,0.011,5.8,219.4,,90.90909091
8965,17Iot And,BD+42 4720,109.03,-17.62,4.29,B8V,0.011,,,,90.90909091
9036,81Phi Peg,BD+18 5231,104.18,-41.6,5.08,M2.5IIIb,0.011,,,,90.90909091
196,,BD+54  143,122.05,-7.64,5.42,A2V s,0.012,5.4,89,,83.33333333
289,,BD+46  243,124.97,-15.45,6.45,A9IV,0.012,1,0.9,,83.33333333
991,,BD+33  619,154.63,-19.43,4.82,K2IICN1,0.012,,,,83.33333333
1140,16    Tau,BD+23  505,166.04,-23.73,5.46,B7IV,0.012,2,0,,83.33333333
1148,Gam Cam,BD+70  259,136.31,13.27,4.63,A2IVn,0.012,3.9,106.3,,83.33333333
1302,Del Hor,CD-42 1400,246.5,-47.02,4.93,A9V,0.012,,,,83.33333333
1828,18    Cam,BD+57  889,154.43,12.76,6.48,F8V,0.012,,,,83.33333333
1836,Lam Dor,CP-59  472,267.52,-33.87,5.14,G6III,0.012,,,,83.33333333
1859,,CP-68  375,279.07,-32.78,6.03,F0IV-V,0.012,0.2,1.1,,83.33333333
1922,Bet Dor,CP-62  487,271.73,-32.77,3.76,F6Ia,0.012,,,,83.33333333
2029,30Xi  Aur,BD+55 1027,157.33,14.72,4.99,A2V,0.012,,,,83.33333333
2064,Eps Dor,CP-66  463,276.8,-30.8,5.11,B6V,0.012,,,,83.33333333
2155,18The Lep,BD-14 1331,221.51,-16.64,4.67,A1Vn,0.012,,,,83.33333333
2180,,BD-22 1327,229.01,-19,5.5,A0IV,0.012,,,,83.33333333
2280,,BD+02 1197,207.47,-5.63,6.31,A4.5V,0.012,0.6,0.3,,83.33333333
2433,,BD-22 1472,231.82,-13.19,6.35,B5V,0.012,3.6,9.1,,83.33333333
2462,,CD-48 2417,257.12,-21.91,4.93,G8III,0.012,2.3,13,,83.33333333
2630,42Ome Gem,BD+24 1502,192.18,13.06,5.18,G5IIa-Ib,0.012,,,,83.33333333
2766,,CD-27 3852,240.58,-7.3,4.64,M3III,0.012,,,,83.33333333
2818,21    Lyn,BD+49 1623,168.71,25.75,4.64,A1V,0.012,,,,83.33333333
2934,,CP-52 1231,264.77,-14.96,4.94,K3III,0.012,,,,83.33333333
3013,80Pi  Gem,BD+33 1585,186.76,25.53,5.14,M1IIIa,0.012,5.2,21,,83.33333333
3059,13Zet CMi,BD+02 1808,218.32,14.2,5.14,B8II,0.012,,,,83.33333333
3084,,CD-38 3769,253.9,-5.93,4.49,B2.5V,0.012,,,,83.33333333
3212,,BD-07 2378,229.4,13.91,5.36,G6III,0.012,,,,83.33333333
3249,17Bet Cnc,BD+09 1917,214.25,23.05,3.52,K4IIIBa0.5,0.012,9.4,29.2,,83.33333333
3520,,CD-44 4861,265.22,-0.86,4.93,A2III,0.012,,,,83.33333333
3758,,BD-00 2201,234.73,33.7,6.27,F0Vn,0.012,5,1.3,,83.33333333
4025,,CP-65 1273,288.01,-8.19,5.16,Am,0.012,,,,83.33333333
4043,,CP-59 2008,284.58,-2.69,6.22,A5V,0.012,0.1,0.4,,83.33333333
4218,,BD-14 3186,263.88,38.05,6.67,A0III,0.012,1.2,74.7,,83.33333333
4465,,BD+28 2022,206.35,73.33,5.8,F0V,0.012,0.2,0.5,,83.33333333
4583,Eps Cha,CP-77  772,300.21,-15.62,4.91,B9Vn,0.012,0.6,0.9,,83.33333333
4829,31    Vir,BD+07 2568,296.18,69.55,5.59,A2V,0.012,5.8,4,,83.33333333
4917,,BD+54 1556,121.36,63.01,5.82,A5m,0.012,1.8,3.5,,83.33333333
4933,Xi 1Cen,CD-48 7887,304.95,13.3,4.85,A0V,0.012,,,,83.33333333
4945,,BD+46 1847,114.85,71.63,5.63,K1III,0.012,5.4,2.9,,83.33333333
4958,45Psi Hya,BD-22 3515,308.19,39.57,4.95,K1III,0.012,,,,83.33333333
5058,,CD-39 8246,310.14,22.63,5.09,K0.5III:Ba3,0.012,,,,83.33333333
5089,,CD-38 8592,311.22,22.83,3.88,G9Ib*,0.012,0.1,0.2,,83.33333333
5096,,BD+42 2405,96.97,72.96,6.08,K2III,0.012,,,,83.33333333
5179,,BD+41 2424,87.52,72.06,5.87,A5V,0.012,,,,83.33333333
5234,,CP-53 5805,312.44,7.54,6.14,A1V,0.012,1,1.8,,83.33333333
5238,86    UMa,BD+54 1630,103.76,61.01,5.7,A0V,0.012,,,,83.33333333
5301,,BD-15 3817,329.16,42.49,4.91,M2IIIa,0.012,,,,83.33333333
5393,,BD-11 3736,336.23,45.09,6.49,F4III,0.012,1.6,1.2,,83.33333333
5468,33    Boo,BD+45 2204,78.76,62.42,5.39,A1V,0.012,,,,83.33333333
5626,Lam Lup,CD-44 9889,326.8,11.13,4.05,B3V,0.012,0.2,0.4,,83.33333333
5724,,CD-3810289,333.09,14.96,4.6,A0IV,0.012,4,92.4,,83.33333333
5972,44Pi  Ser,BD+23 2886,38.14,46.78,4.83,A3V,0.012,,,,83.33333333
5989,,BD-05 4234,4.86,32.37,6.53,F2IV,0.012,0,0.1,,83.33333333
6052,,BD+27 2603,44.39,45.43,6.5,F3V,0.012,3.8,2.6,,83.33333333
6216,,CD-2711103,353.35,11.87,6.58,A2V,0.012,4,2,,83.33333333
6279,53    Her,BD+31 2925,53.39,37.87,5.32,F0-2V,0.012,6.7,70.9,,83.33333333
6435,,BD-17 4773,6.28,10.99,6.02,A2Vnn,0.012,1.5,2,,83.33333333
